Beta     Rho_     NCat     ACRT     TP__     TN__     FP__     FN__     ACC_     Esp_     Sens     MCC_     FSOC
0.1     0.9     84     881.0     474.0     407.0     82.0     142.0     0.7973     0.8323     0.7695     0.5978     0.8089
0.1     0.9     84     880.0     482.0     398.0     91.0     134.0     0.7964     0.8139     0.7825     0.5928     0.8108
0.1     0.9     82     871.0     448.0     423.0     67.0     167.0     0.7882     0.8633     0.7285     0.5893     0.7929
0.1     0.9     87     773.0     427.0     346.0     144.0     188.0     0.6995     0.7061     0.6943     0.3981     0.7201
0.1     0.9     88     866.0     465.0     401.0     89.0     150.0     0.7837     0.8184     0.7561     0.5708     0.7956
0.1     0.9     88     917.0     548.0     369.0     121.0     68.0     0.8291     0.7531     0.8896     0.653     0.8529
0.1     0.9     85     907.0     566.0     341.0     149.0     50.0     0.8201     0.6959     0.9188     0.6388     0.8505
0.1     0.9     85     944.0     514.0     430.0     60.0     102.0     0.8535     0.8776     0.8344     0.7078     0.8639
0.1     0.9     85     842.0     505.0     337.0     153.0     111.0     0.7613     0.6878     0.8198     0.5136     0.7928
0.1     0.9     84     850.0     549.0     301.0     189.0     67.0     0.7685     0.6143     0.8912     0.5329     0.8109
0.1     0.9     85.2     873.1     497.8     375.3     114.5     117.9     0.7898     0.7663     0.8085     0.5795     0.8099
0.1     0.09     5465     1071.0     602.0     469.0     20.0     14.0     0.9692     0.9591     0.9773     0.9376     0.9725
0.1     0.09     5449     1072.0     604.0     468.0     21.0     12.0     0.9701     0.9571     0.9805     0.9395     0.9734
0.1     0.09     5465     1063.0     596.0     467.0     23.0     19.0     0.962     0.9531     0.9691     0.923     0.966
0.1     0.09     5445     1057.0     599.0     458.0     32.0     16.0     0.9566     0.9347     0.974     0.9121     0.9615
0.1     0.09     5457     1053.0     593.0     460.0     30.0     22.0     0.9529     0.9388     0.9642     0.9046     0.958
0.1     0.09     5466     1069.0     602.0     467.0     23.0     14.0     0.9665     0.9531     0.9773     0.9322     0.9702
0.1     0.09     5466     1080.0     610.0     470.0     20.0     6.0     0.9765     0.9592     0.9903     0.9525     0.9791
0.1     0.09     5461     1071.0     600.0     471.0     19.0     16.0     0.9684     0.9612     0.974     0.9359     0.9717
0.1     0.09     5441     1070.0     603.0     467.0     23.0     13.0     0.9675     0.9531     0.9789     0.9341     0.971
0.1     0.09     5455     1058.0     601.0     457.0     33.0     15.0     0.9566     0.9327     0.9756     0.9122     0.9616
0.1     0.09     5457.0     1066.4     601.0     465.4     24.4     14.7     0.9646     0.9502     0.9761     0.9284     0.9685
0.1     0.091     5465     1071.0     602.0     469.0     20.0     14.0     0.9692     0.9591     0.9773     0.9376     0.9725
0.1     0.091     5449     1072.0     604.0     468.0     21.0     12.0     0.9701     0.9571     0.9805     0.9395     0.9734
0.1     0.091     5465     1063.0     596.0     467.0     23.0     19.0     0.962     0.9531     0.9691     0.923     0.966
0.1     0.091     5445     1057.0     599.0     458.0     32.0     16.0     0.9566     0.9347     0.974     0.9121     0.9615
0.1     0.091     5457     1053.0     593.0     460.0     30.0     22.0     0.9529     0.9388     0.9642     0.9046     0.958
0.1     0.091     5466     1069.0     602.0     467.0     23.0     14.0     0.9665     0.9531     0.9773     0.9322     0.9702
0.1     0.091     5466     1080.0     610.0     470.0     20.0     6.0     0.9765     0.9592     0.9903     0.9525     0.9791
0.1     0.091     5461     1071.0     600.0     471.0     19.0     16.0     0.9684     0.9612     0.974     0.9359     0.9717
0.1     0.091     5441     1070.0     603.0     467.0     23.0     13.0     0.9675     0.9531     0.9789     0.9341     0.971
0.1     0.091     5455     1058.0     601.0     457.0     33.0     15.0     0.9566     0.9327     0.9756     0.9122     0.9616
0.1     0.091     5457.0     1066.4     601.0     465.4     24.4     14.7     0.9646     0.9502     0.9761     0.9284     0.9685
